category,metric,value
overall,smape,14.09
overall,mae,0.1334
overall,rmse,0.1728
overall,r2,0.9542
fold_1,smape,13.95
fold_1,mae,0.1328
fold_2,smape,14.23
fold_2,mae,0.1342
fold_3,smape,14.08
fold_3,mae,0.1335
fold_4,smape,13.87
fold_4,mae,0.1325
fold_5,smape,14.32
fold_5,mae,0.1347
model,training_time_seconds,315
model,prediction_time_ms,42
model,size_mb,24.7
dataset,train_samples,800
dataset,test_samples,200
dataset,features,10
hyperparameters,learning_rate,0.05
hyperparameters,max_depth,8
hyperparameters,num_leaves,31
hyperparameters,n_estimators,500
